key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,15184
28425641,1,500,810,15184
79093151,1,500,828,15184
28425641,1,500,860,15184
66489138,1,500,955,15184
44594109,1,500,961,15184
99970880,1,500,1019,15184
87926431,1,500,1072,15184
67959054,1,1000,1077,15184
19819569,1,1000,1205,15184
28425641,1,500,1242,15184
34262661,1,1000,1276,15184
86971226,1,500,1284,15184
10718755,1,500,1339,15184
34262661,1,1000,1387,15184
19819569,1,1500,1524,15184
32747133,1,1000,1549,15184
95290079,1,1500,1551,15184
31895428,1,1000,1553,15184
19819569,1,1000,1614,15184
4448187,1,1000,1626,15184
28425641,1,500,1643,15184
19819569,1,1000,1646,15184
95290079,1,1500,1719,15184
67959054,1,1000,1721,15184
19819569,1,1500,1728,15184
73418408,1,1500,1772,15184
95290079,1,1500,1775,15184
71725719,1,500,1791,15184
63804775,1,1000,1793,15184
73418408,1,1500,1798,15184
89636884,1,1000,1802,15184
87926431,1,500,1882,15184
95290079,1,1500,1915,15184
19819569,1,1000,1971,15184
19819569,1,1500,1995,15184
19819569,1,1000,2008,15184
84484364,1,500,2027,15184
19819569,1,1500,2068,15184
99048844,1,1000,2175,15184
79093151,1,500,2193,15184
45585267,1,2000,2267,15184
68817033,1,2000,2299,15184
73418408,1,1500,2308,15184
58357722,1,1500,2360,15184
7278441,1,2000,2410,15184
28425641,1,500,2418,15184
21863909,1,500,2423,15184
1296214,1,1000,2490,15184
19819569,1,1000,2490,15184
93776043,1,1000,2526,15184
22726351,1,2500,2534,15184
28425641,1,500,2556,15184
32227697,1,1000,2636,15184
95290079,1,1500,2667,15184
25804512,1,2500,2670,15184
93776043,1,1000,2730,15184
82758559,1,500,2758,15184
72523281,1,2500,2771,15184
95290079,1,1500,2786,15184
19819569,1,1000,2794,15184
96673993,1,2000,2824,15184
79093151,1,500,2867,15184
28425641,1,500,2888,15184
77221734,1,2000,2903,15184
28425641,1,500,2907,15184
28425641,1,500,2925,15184
23374822,1,2500,2937,15184
77589042,1,1500,2996,15184
51209364,1,0,3012,15184
25804512,1,2000,3058,15184
28425641,1,500,3105,15184
28425641,1,500,3117,15184
19819569,1,1000,3123,15184
28425641,1,500,3139,15184
25804512,1,2500,3142,15184
79093151,1,3000,3171,15184
19819569,1,1000,3186,15184
72523281,1,2500,3203,15184
32412154,1,1000,3225,15184
95290079,1,1500,3226,15184
32922355,1,2500,3231,15184
86308065,1,3000,3238,15184
22726351,1,2500,3249,15184
28425641,1,500,3254,15184
19819569,1,1500,3277,15184
22726351,1,2500,3279,15184
30003784,1,2000,3309,15184
58357722,1,1500,3327,15184
22726351,1,2500,3342,15184
11723396,1,2000,3345,15184
16133749,1,2000,3364,15184
58357722,1,1500,3369,15184
19819569,1,1500,3380,15184
95290079,1,1500,3401,15184
43581846,1,1500,3413,15184
19819569,1,1500,3427,15184
33071850,1,1000,3444,15184
6456186,1,2000,3490,15184
6456186,1,2000,3506,15184
56511357,1,1500,3508,15184
85360088,1,2500,3514,15184
36488048,1,3500,3533,15184
91599990,1,2500,3540,15184
36374194,1,2000,3553,15184
75282642,1,3500,3553,15184
5023913,1,2000,3557,15184
32412154,1,1000,3566,15184
66538156,1,2500,3571,15184
79093151,1,500,3578,15184
7544903,1,3500,3590,15184
31895428,1,1000,3590,15184
21559768,1,3500,3605,15184
4853279,1,2500,3616,15184
87926431,1,500,3654,15184
19819569,1,1500,3672,15184
58357722,1,1500,3681,15184
99027874,1,2500,3697,15184
44594109,1,3500,3721,15184
25737248,1,2000,3724,15184
43990469,1,3000,3725,15184
51209364,1,500,3729,15184
83488764,1,3000,3756,15184
28425641,1,500,3756,15184
83488764,1,3000,3768,15184
84484364,1,500,3782,15184
5956451,1,500,3783,15184
86308065,1,3000,3785,15184
19819569,1,1500,3789,15184
59066148,1,1000,3790,15184
19819569,1,1500,3817,15184
81783800,1,3000,3837,15184
30003784,1,2000,3852,15184
33071850,1,1000,3881,15184
83488764,1,3000,3914,15184
8345360,1,2000,3926,15184
33071850,1,1000,3930,15184
22701764,1,3000,3932,15184
2673143,1,2500,3937,15184
28425641,1,500,3938,15184
44594109,1,3500,3941,15184
5956451,1,3500,3941,15184
91599990,1,2000,3953,15184
87926431,1,500,3956,15184
72523281,1,2500,3963,15184
28425641,1,500,3983,15184
95290079,1,1500,3984,15184
95290079,1,1500,4010,15184
19819569,1,1500,4042,15184
86308065,1,3500,4049,15184
91962132,1,4000,4062,15184
51209364,1,500,4070,15184
28425641,1,500,4100,15184
83488764,1,3000,4121,15184
3330322,1,4000,4129,15184
16133749,1,2000,4140,15184
98997765,1,1500,4159,15184
18591930,1,2000,4177,15184
40639323,1,4000,4178,15184
44594109,1,3000,4184,15184
95290079,1,1500,4191,15184
19819569,1,1000,4201,15184
93776043,1,1000,4204,15184
83488764,1,3000,4207,15184
72523281,1,2500,4210,15184
91962132,1,4000,4249,15184
14838691,1,4000,4288,15184
58169160,1,2000,4289,15184
19819569,1,1500,4300,15184
7544903,1,3000,4302,15184
17718341,1,4000,4307,15184
85420429,1,2000,4308,15184
18591930,1,2000,4309,15184
4448187,1,1000,4313,15184
