key,value,eventTime,arrivalTime,processedTime
96,0,2500,2534,10062
98,0,2500,2571,10062
97,0,0,2731,10062
84,0,2500,2745,10062
26,0,2500,2809,10062
11,0,2500,2859,10062
13,0,2500,2903,10062
71,0,2500,3102,10062
78,0,2500,3149,10062
97,0,2500,3253,10062
42,0,2500,3352,10062
83,0,2500,3387,10062
8,0,2500,3647,10062
21,0,2500,3686,10062
56,0,2500,3689,10062
27,0,2500,3731,10062
13,0,2500,3795,10062
57,0,2500,3860,10062
95,0,2500,3922,10062
86,0,2500,4027,10062
56,0,2500,4140,10062
89,0,2500,4184,10062
12,0,2500,4274,10062
6,0,2500,4287,10062
48,0,2500,4380,10062
2,0,2500,4484,10062
55,0,2500,4484,10062
5,0,2500,4587,10062
16,0,2500,4919,10062
69,0,2500,4973,10062
2,0,5000,5078,10062
32,0,5000,5084,10062
22,0,5000,5105,10062
30,0,2500,5168,10062
72,0,5000,5171,10062
36,0,5000,5220,10062
49,0,5000,5301,10062
3,0,2500,5313,10062
17,0,5000,5317,10062
70,0,2500,5335,10062
59,0,2500,5339,10062
54,0,5000,5354,10062
89,0,5000,5384,10062
52,0,2500,5427,10062
25,0,5000,5470,10062
94,0,2500,5483,10062
41,0,2500,5491,10062
1,0,5000,5502,10062
67,0,5000,5519,10062
9,0,5000,5761,10062
24,0,5000,5771,10062
20,0,2500,5780,10062
60,0,2500,5795,10062
82,0,5000,5822,10062
78,0,2500,5959,10062
27,0,5000,5961,10062
12,0,5000,6000,10062
53,0,5000,6146,10062
67,0,2500,6166,10062
11,0,5000,6201,10062
29,0,2500,6202,10062
85,0,2500,6231,10062
63,0,5000,6262,10062
56,0,2500,6429,10062
29,0,2500,6487,10062
36,0,5000,6509,10062
27,0,2500,6588,10062
41,0,5000,6789,10062
15,0,2500,6813,10062
29,0,2500,6835,10062
42,0,2500,6854,10062
42,0,5000,6957,10062
65,0,5000,7098,10062
82,0,5000,7218,10062
54,0,5000,7285,10062
96,0,5000,7322,10062
46,0,5000,7340,10062
39,0,2500,7345,10062
27,0,2500,7354,10062
36,0,5000,7393,10062
93,0,7500,7561,10062
56,0,7500,7587,10062
56,0,7500,7846,10062
63,0,7500,7895,10062
14,0,5000,7896,10062
68,0,7500,7911,10062
53,0,7500,7959,10062
55,0,5000,7959,10062
74,0,7500,7984,10062
26,0,7500,8010,10062
94,0,5000,8055,10062
69,0,5000,8114,10062
20,0,5000,8240,10062
54,0,5000,8357,10062
97,0,5000,8475,10062
52,0,5000,8497,10062
58,0,7500,8540,10062
21,0,7500,8634,10062
35,0,5000,8794,10062
11,0,7500,8825,10062
89,0,7500,8831,10062
79,0,5000,8913,10062
84,0,5000,9069,10062
16,0,5000,9180,10062
9,0,5000,9195,10062
74,0,7500,9216,10062
59,0,7500,9218,10062
73,0,7500,9224,10062
46,0,5000,9260,10062
50,0,5000,9316,10062
53,0,5000,9409,10062
93,0,7500,9467,10062
90,0,5000,9543,10062
77,0,5000,9555,10062
53,0,7500,9606,10062
13,0,5000,9614,10062
24,0,7500,9805,10062
55,0,7500,9843,10062
80,0,7500,9844,10062
86,0,5000,9884,10062
10,0,5000,9900,10062
