key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,13744
28425641,1,500,810,13744
79093151,1,500,828,13744
28425641,1,500,860,13744
66489138,1,500,955,13744
44594109,1,500,961,13744
99970880,1,500,1019,13744
87926431,1,500,1072,13744
67959054,1,1000,1077,13744
19819569,1,1000,1205,13744
28425641,1,500,1242,13744
34262661,1,1000,1276,13744
86971226,1,500,1284,13744
10718755,1,500,1339,13744
34262661,1,1000,1387,13744
19819569,1,1500,1524,13744
32747133,1,1000,1549,13744
95290079,1,1500,1551,13744
31895428,1,1000,1553,13744
19819569,1,1000,1614,13744
4448187,1,1000,1626,13744
28425641,1,500,1643,13744
19819569,1,1000,1646,13744
95290079,1,1500,1719,13744
67959054,1,1000,1721,13744
19819569,1,1500,1728,13744
73418408,1,1500,1772,13744
95290079,1,1500,1775,13744
71725719,1,500,1791,13744
63804775,1,1000,1793,13744
73418408,1,1500,1798,13744
89636884,1,1000,1802,13744
87926431,1,500,1882,13744
95290079,1,1500,1915,13744
19819569,1,1000,1971,13744
19819569,1,1500,1995,13744
19819569,1,1000,2008,13744
84484364,1,500,2027,13744
19819569,1,1500,2068,13744
99048844,1,1000,2175,13744
79093151,1,500,2193,13744
45585267,1,2000,2267,13744
68817033,1,2000,2299,13744
73418408,1,1500,2308,13744
58357722,1,1500,2360,13744
7278441,1,2000,2410,13744
28425641,1,500,2418,13744
21863909,1,500,2423,13744
1296214,1,1000,2490,13744
19819569,1,1000,2490,13744
93776043,1,1000,2526,13744
22726351,1,2500,2534,13744
28425641,1,500,2556,13744
32227697,1,1000,2636,13744
95290079,1,1500,2667,13744
25804512,1,2500,2670,13744
93776043,1,1000,2730,13744
82758559,1,500,2758,13744
72523281,1,2500,2771,13744
95290079,1,1500,2786,13744
19819569,1,1000,2794,13744
96673993,1,2000,2824,13744
79093151,1,500,2867,13744
28425641,1,500,2888,13744
77221734,1,2000,2903,13744
28425641,1,500,2907,13744
28425641,1,500,2925,13744
23374822,1,2500,2937,13744
77589042,1,1500,2996,13744
51209364,1,0,3012,13744
25804512,1,2000,3058,13744
28425641,1,500,3105,13744
28425641,1,500,3117,13744
19819569,1,1000,3123,13744
28425641,1,500,3139,13744
