key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,16836
28425641,1,500,810,16836
79093151,1,500,828,16836
28425641,1,500,860,16836
66489138,1,500,955,16836
44594109,1,500,961,16836
99970880,1,500,1019,16836
87926431,1,500,1072,16836
67959054,1,1000,1077,16836
19819569,1,1000,1205,16836
28425641,1,500,1242,16836
34262661,1,1000,1276,16836
86971226,1,500,1284,16836
10718755,1,500,1339,16836
34262661,1,1000,1387,16836
19819569,1,1500,1524,16836
32747133,1,1000,1549,16836
95290079,1,1500,1551,16836
31895428,1,1000,1553,16836
19819569,1,1000,1614,16836
4448187,1,1000,1626,16836
28425641,1,500,1643,16836
19819569,1,1000,1646,16836
95290079,1,1500,1719,16836
67959054,1,1000,1721,16836
19819569,1,1500,1728,16836
73418408,1,1500,1772,16836
95290079,1,1500,1775,16836
71725719,1,500,1791,16836
63804775,1,1000,1793,16836
73418408,1,1500,1798,16836
89636884,1,1000,1802,16836
87926431,1,500,1882,16836
95290079,1,1500,1915,16836
19819569,1,1000,1971,16836
19819569,1,1500,1995,16836
19819569,1,1000,2008,16836
84484364,1,500,2027,16836
19819569,1,1500,2068,16836
99048844,1,1000,2175,16836
79093151,1,500,2193,16836
45585267,1,2000,2267,16836
68817033,1,2000,2299,16836
73418408,1,1500,2308,16836
58357722,1,1500,2360,16836
7278441,1,2000,2410,16836
28425641,1,500,2418,16836
21863909,1,500,2423,16836
1296214,1,1000,2490,16836
19819569,1,1000,2490,16836
93776043,1,1000,2526,16836
22726351,1,2500,2534,16836
28425641,1,500,2556,16836
32227697,1,1000,2636,16836
95290079,1,1500,2667,16836
25804512,1,2500,2670,16836
93776043,1,1000,2730,16836
82758559,1,500,2758,16836
72523281,1,2500,2771,16836
95290079,1,1500,2786,16836
19819569,1,1000,2794,16836
96673993,1,2000,2824,16836
79093151,1,500,2867,16836
28425641,1,500,2888,16836
77221734,1,2000,2903,16836
28425641,1,500,2907,16836
28425641,1,500,2925,16836
23374822,1,2500,2937,16836
77589042,1,1500,2996,16836
51209364,1,0,3012,16836
25804512,1,2000,3058,16836
28425641,1,500,3105,16836
28425641,1,500,3117,16836
19819569,1,1000,3123,16836
28425641,1,500,3139,16836
25804512,1,2500,3142,16836
79093151,1,3000,3171,16836
19819569,1,1000,3186,16836
72523281,1,2500,3203,16836
32412154,1,1000,3225,16836
95290079,1,1500,3226,16836
32922355,1,2500,3231,16836
86308065,1,3000,3238,16836
22726351,1,2500,3249,16836
28425641,1,500,3254,16836
19819569,1,1500,3277,16836
22726351,1,2500,3279,16836
30003784,1,2000,3309,16836
58357722,1,1500,3327,16836
22726351,1,2500,3342,16836
11723396,1,2000,3345,16836
16133749,1,2000,3364,16836
58357722,1,1500,3369,16836
19819569,1,1500,3380,16836
95290079,1,1500,3401,16836
43581846,1,1500,3413,16836
19819569,1,1500,3427,16836
33071850,1,1000,3444,16836
6456186,1,2000,3490,16836
6456186,1,2000,3506,16836
56511357,1,1500,3508,16836
85360088,1,2500,3514,16836
36488048,1,3500,3533,16836
91599990,1,2500,3540,16836
36374194,1,2000,3553,16836
75282642,1,3500,3553,16836
5023913,1,2000,3557,16836
32412154,1,1000,3566,16836
66538156,1,2500,3571,16836
79093151,1,500,3578,16836
7544903,1,3500,3590,16836
31895428,1,1000,3590,16836
21559768,1,3500,3605,16836
4853279,1,2500,3616,16836
87926431,1,500,3654,16836
19819569,1,1500,3672,16836
58357722,1,1500,3681,16836
99027874,1,2500,3697,16836
44594109,1,3500,3721,16836
25737248,1,2000,3724,16836
43990469,1,3000,3725,16836
51209364,1,500,3729,16836
83488764,1,3000,3756,16836
28425641,1,500,3756,16836
83488764,1,3000,3768,16836
84484364,1,500,3782,16836
5956451,1,500,3783,16836
86308065,1,3000,3785,16836
19819569,1,1500,3789,16836
59066148,1,1000,3790,16836
19819569,1,1500,3817,16836
81783800,1,3000,3837,16836
30003784,1,2000,3852,16836
33071850,1,1000,3881,16836
83488764,1,3000,3914,16836
8345360,1,2000,3926,16836
33071850,1,1000,3930,16836
22701764,1,3000,3932,16836
2673143,1,2500,3937,16836
28425641,1,500,3938,16836
44594109,1,3500,3941,16836
5956451,1,3500,3941,16836
91599990,1,2000,3953,16836
87926431,1,500,3956,16836
72523281,1,2500,3963,16836
28425641,1,500,3983,16836
95290079,1,1500,3984,16836
95290079,1,1500,4010,16836
19819569,1,1500,4042,16836
86308065,1,3500,4049,16836
91962132,1,4000,4062,16836
51209364,1,500,4070,16836
28425641,1,500,4100,16836
83488764,1,3000,4121,16836
3330322,1,4000,4129,16836
16133749,1,2000,4140,16836
98997765,1,1500,4159,16836
18591930,1,2000,4177,16836
40639323,1,4000,4178,16836
44594109,1,3000,4184,16836
95290079,1,1500,4191,16836
19819569,1,1000,4201,16836
93776043,1,1000,4204,16836
83488764,1,3000,4207,16836
72523281,1,2500,4210,16836
91962132,1,4000,4249,16836
14838691,1,4000,4288,16836
58169160,1,2000,4289,16836
19819569,1,1500,4300,16836
7544903,1,3000,4302,16836
17718341,1,4000,4307,16836
85420429,1,2000,4308,16836
18591930,1,2000,4309,16836
4448187,1,1000,4313,16836
80694968,1,2500,4319,16836
68486918,1,1000,4370,16836
11723396,1,2000,4398,16836
75282642,1,3500,4399,16836
44594109,1,3500,4422,16836
7278441,1,2000,4428,16836
22701764,1,3000,4460,16836
22726351,1,2500,4489,16836
58357722,1,1500,4490,16836
95290079,1,1500,4505,16836
19819569,1,1000,4509,16836
28425641,1,500,4550,16836
31508574,1,2000,4559,16836
25804512,1,2500,4561,16836
28425641,1,500,4581,16836
53520052,1,1000,4601,16836
58357722,1,1500,4609,16836
70395304,1,1500,4629,16836
65282171,1,4500,4632,16836
93776043,1,1000,4661,16836
36488048,1,3500,4682,16836
36488048,1,3500,4683,16836
28425641,1,500,4694,16836
22726351,1,2500,4707,16836
79093151,1,3500,4707,16836
30003784,1,2000,4709,16836
53520052,1,4500,4710,16836
95290079,1,1500,4715,16836
4853279,1,2500,4715,16836
91599990,1,2000,4728,16836
95290079,1,1500,4729,16836
66538156,1,3000,4734,16836
5956451,1,3500,4759,16836
7544903,1,3000,4771,16836
2982962,1,2000,4790,16836
33200804,1,1000,4799,16836
16234480,1,500,4802,16836
62524424,1,4500,4804,16836
72523281,1,2500,4843,16836
4448187,1,1000,4874,16836
87926431,1,500,4884,16836
96673993,1,2000,4894,16836
89886461,1,4000,4943,16836
34262661,1,1000,4962,16836
22311271,1,2000,4976,16836
68486918,1,4500,5003,16836
84484364,1,500,5005,16836
62607824,1,1000,5006,16836
86308065,1,3500,5012,16836
61118106,1,4500,5016,16836
63670604,1,2000,5033,16836
73877266,1,4500,5034,16836
95290079,1,1500,5048,16836
4853279,1,2500,5052,16836
28425641,1,500,5055,16836
32747133,1,1000,5059,16836
79093151,1,500,5067,16836
89915804,1,2000,5067,16836
96673993,1,2000,5071,16836
35200765,1,3000,5087,16836
89528679,1,4500,5091,16836
63804775,1,4500,5092,16836
28425641,1,500,5094,16836
28425641,1,500,5106,16836
32747133,1,5000,5115,16836
91599990,1,2500,5164,16836
17442783,1,4500,5168,16836
65282171,1,4500,5183,16836
44594109,1,3500,5187,16836
51799292,1,4000,5190,16836
83488764,1,3000,5192,16836
