key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,81934
28425641,1,500,810,81934
79093151,1,500,828,81934
28425641,1,500,860,81934
66489138,1,500,955,81934
44594109,1,500,961,81934
99970880,1,500,1019,81934
87926431,1,500,1072,81934
67959054,1,1000,1077,81934
19819569,1,1000,1205,81934
28425641,1,500,1242,81934
34262661,1,1000,1276,81934
86971226,1,500,1284,81934
10718755,1,500,1339,81934
34262661,1,1000,1387,81934
19819569,1,1500,1524,81934
32747133,1,1000,1549,81934
95290079,1,1500,1551,81934
31895428,1,1000,1553,81934
19819569,1,1000,1614,81934
4448187,1,1000,1626,81934
28425641,1,500,1643,81934
19819569,1,1000,1646,81934
95290079,1,1500,1719,81934
67959054,1,1000,1721,81934
19819569,1,1500,1728,81934
73418408,1,1500,1772,81934
95290079,1,1500,1775,81934
71725719,1,500,1791,81934
63804775,1,1000,1793,81934
73418408,1,1500,1798,81934
89636884,1,1000,1802,81934
87926431,1,500,1882,81934
95290079,1,1500,1915,81934
19819569,1,1000,1971,81934
19819569,1,1500,1995,81934
19819569,1,1000,2008,81934
84484364,1,500,2027,81934
19819569,1,1500,2068,81934
99048844,1,1000,2175,81934
79093151,1,500,2193,81934
45585267,1,2000,2267,81934
68817033,1,2000,2299,81934
73418408,1,1500,2308,81934
58357722,1,1500,2360,81934
7278441,1,2000,2410,81934
28425641,1,500,2418,81934
21863909,1,500,2423,81934
1296214,1,1000,2490,81934
19819569,1,1000,2490,81934
93776043,1,1000,2526,81934
22726351,1,2500,2534,81934
28425641,1,500,2556,81934
32227697,1,1000,2636,81934
95290079,1,1500,2667,81934
25804512,1,2500,2670,81934
93776043,1,1000,2730,81934
82758559,1,500,2758,81934
72523281,1,2500,2771,81934
95290079,1,1500,2786,81934
19819569,1,1000,2794,81934
96673993,1,2000,2824,81934
79093151,1,500,2867,81934
28425641,1,500,2888,81934
77221734,1,2000,2903,81934
28425641,1,500,2907,81934
28425641,1,500,2925,81934
23374822,1,2500,2937,81934
77589042,1,1500,2996,81934
51209364,1,0,3012,81934
25804512,1,2000,3058,81934
28425641,1,500,3105,81934
28425641,1,500,3117,81934
19819569,1,1000,3123,81934
28425641,1,500,3139,81934
25804512,1,2500,3142,81934
79093151,1,3000,3171,81934
19819569,1,1000,3186,81934
72523281,1,2500,3203,81934
32412154,1,1000,3225,81934
95290079,1,1500,3226,81934
32922355,1,2500,3231,81934
86308065,1,3000,3238,81934
22726351,1,2500,3249,81934
28425641,1,500,3254,81934
19819569,1,1500,3277,81934
22726351,1,2500,3279,81934
30003784,1,2000,3309,81934
58357722,1,1500,3327,81934
22726351,1,2500,3342,81934
11723396,1,2000,3345,81934
16133749,1,2000,3364,81934
58357722,1,1500,3369,81934
19819569,1,1500,3380,81934
95290079,1,1500,3401,81934
43581846,1,1500,3413,81934
19819569,1,1500,3427,81934
33071850,1,1000,3444,81934
6456186,1,2000,3490,81934
6456186,1,2000,3506,81934
56511357,1,1500,3508,81934
85360088,1,2500,3514,81934
36488048,1,3500,3533,81934
91599990,1,2500,3540,81934
36374194,1,2000,3553,81934
75282642,1,3500,3553,81934
5023913,1,2000,3557,81934
32412154,1,1000,3566,81934
66538156,1,2500,3571,81934
79093151,1,500,3578,81934
7544903,1,3500,3590,81934
31895428,1,1000,3590,81934
21559768,1,3500,3605,81934
4853279,1,2500,3616,81934
87926431,1,500,3654,81934
19819569,1,1500,3672,81934
58357722,1,1500,3681,81934
99027874,1,2500,3697,81934
44594109,1,3500,3721,81934
25737248,1,2000,3724,81934
43990469,1,3000,3725,81934
51209364,1,500,3729,81934
83488764,1,3000,3756,81934
28425641,1,500,3756,81934
83488764,1,3000,3768,81934
84484364,1,500,3782,81934
5956451,1,500,3783,81934
86308065,1,3000,3785,81934
19819569,1,1500,3789,81934
59066148,1,1000,3790,81934
19819569,1,1500,3817,81934
81783800,1,3000,3837,81934
30003784,1,2000,3852,81934
33071850,1,1000,3881,81934
83488764,1,3000,3914,81934
8345360,1,2000,3926,81934
33071850,1,1000,3930,81934
22701764,1,3000,3932,81934
2673143,1,2500,3937,81934
28425641,1,500,3938,81934
44594109,1,3500,3941,81934
5956451,1,3500,3941,81934
91599990,1,2000,3953,81934
87926431,1,500,3956,81934
72523281,1,2500,3963,81934
28425641,1,500,3983,81934
95290079,1,1500,3984,81934
95290079,1,1500,4010,81934
19819569,1,1500,4042,81934
86308065,1,3500,4049,81934
91962132,1,4000,4062,81934
51209364,1,500,4070,81934
28425641,1,500,4100,81934
83488764,1,3000,4121,81934
3330322,1,4000,4129,81934
16133749,1,2000,4140,81934
98997765,1,1500,4159,81934
18591930,1,2000,4177,81934
40639323,1,4000,4178,81934
44594109,1,3000,4184,81934
95290079,1,1500,4191,81934
19819569,1,1000,4201,81934
93776043,1,1000,4204,81934
83488764,1,3000,4207,81934
72523281,1,2500,4210,81934
91962132,1,4000,4249,81934
14838691,1,4000,4288,81934
58169160,1,2000,4289,81934
19819569,1,1500,4300,81934
7544903,1,3000,4302,81934
17718341,1,4000,4307,81934
85420429,1,2000,4308,81934
18591930,1,2000,4309,81934
4448187,1,1000,4313,81934
80694968,1,2500,4319,81934
68486918,1,1000,4370,81934
11723396,1,2000,4398,81934
75282642,1,3500,4399,81934
44594109,1,3500,4422,81934
7278441,1,2000,4428,81934
22701764,1,3000,4460,81934
22726351,1,2500,4489,81934
58357722,1,1500,4490,81934
95290079,1,1500,4505,81934
19819569,1,1000,4509,81934
28425641,1,500,4550,81934
31508574,1,2000,4559,81934
25804512,1,2500,4561,81934
28425641,1,500,4581,81934
53520052,1,1000,4601,81934
58357722,1,1500,4609,81934
70395304,1,1500,4629,81934
65282171,1,4500,4632,81934
93776043,1,1000,4661,81934
36488048,1,3500,4682,81934
36488048,1,3500,4683,81934
28425641,1,500,4694,81934
22726351,1,2500,4707,81934
79093151,1,3500,4707,81934
30003784,1,2000,4709,81934
53520052,1,4500,4710,81934
95290079,1,1500,4715,81934
4853279,1,2500,4715,81934
91599990,1,2000,4728,81934
95290079,1,1500,4729,81934
66538156,1,3000,4734,81934
5956451,1,3500,4759,81934
7544903,1,3000,4771,81934
2982962,1,2000,4790,81934
33200804,1,1000,4799,81934
16234480,1,500,4802,81934
62524424,1,4500,4804,81934
72523281,1,2500,4843,81934
4448187,1,1000,4874,81934
87926431,1,500,4884,81934
96673993,1,2000,4894,81934
89886461,1,4000,4943,81934
34262661,1,1000,4962,81934
22311271,1,2000,4976,81934
68486918,1,4500,5003,81934
84484364,1,500,5005,81934
62607824,1,1000,5006,81934
86308065,1,3500,5012,81934
61118106,1,4500,5016,81934
63670604,1,2000,5033,81934
73877266,1,4500,5034,81934
95290079,1,1500,5048,81934
4853279,1,2500,5052,81934
28425641,1,500,5055,81934
32747133,1,1000,5059,81934
79093151,1,500,5067,81934
89915804,1,2000,5067,81934
96673993,1,2000,5071,81934
35200765,1,3000,5087,81934
89528679,1,4500,5091,81934
63804775,1,4500,5092,81934
28425641,1,500,5094,81934
28425641,1,500,5106,81934
32747133,1,5000,5115,81934
91599990,1,2500,5164,81934
17442783,1,4500,5168,81934
65282171,1,4500,5183,81934
44594109,1,3500,5187,81934
51799292,1,4000,5190,81934
83488764,1,3000,5192,81934
17442783,1,4000,5205,81934
83488764,1,3000,5216,81934
97064747,1,3500,5217,81934
28425641,1,500,5221,81934
1438364,1,4000,5234,81934
45051218,1,4000,5243,81934
19819569,1,1000,5249,81934
51799292,1,4000,5263,81934
83488764,1,3000,5273,81934
31412746,1,4500,5281,81934
86308065,1,3000,5282,81934
22726351,1,2500,5299,81934
44594109,1,4000,5300,81934
81340523,1,2000,5302,81934
71332311,1,5000,5321,81934
17442783,1,4500,5321,81934
73418408,1,1500,5324,81934
83488764,1,3000,5336,81934
19819569,1,1000,5352,81934
22726351,1,2500,5356,81934
58357722,1,1500,5393,81934
99283724,1,4000,5398,81934
97339803,1,3000,5416,81934
72523281,1,2500,5419,81934
89886461,1,4000,5421,81934
6456186,1,2000,5434,81934
91599990,1,2000,5442,81934
53520052,1,4500,5456,81934
53520052,1,5000,5462,81934
73877266,1,4500,5466,81934
75282642,1,3500,5496,81934
89528679,1,5500,5506,81934
83488764,1,3000,5515,81934
5956451,1,3500,5520,81934
19819569,1,1500,5524,81934
27613627,1,5000,5531,81934
96673993,1,2000,5532,81934
65282171,1,4500,5547,81934
11683730,1,1000,5557,81934
16234480,1,4500,5589,81934
72948369,1,4500,5594,81934
31412746,1,5500,5601,81934
72165418,1,5000,5606,81934
30758909,1,5000,5611,81934
27613627,1,5500,5619,81934
53520052,1,5000,5626,81934
99283724,1,4000,5632,81934
79247076,1,5000,5638,81934
30003784,1,2000,5641,81934
89886461,1,4000,5652,81934
29386080,1,4500,5662,81934
3628,1,4500,5679,81934
44594109,1,4000,5689,81934
72948369,1,4500,5689,81934
3887941,1,4000,5691,81934
83488764,1,3000,5723,81934
34438281,1,4500,5728,81934
27605310,1,3500,5741,81934
73418408,1,1500,5750,81934
57006,1,4000,5772,81934
54482435,1,1000,5798,81934
87095283,1,3500,5812,81934
19819569,1,1000,5824,81934
19819569,1,1500,5841,81934
3225441,1,3500,5847,81934
53520052,1,5500,5861,81934
75282642,1,3500,5870,81934
22726351,1,2500,5879,81934
19819569,1,1000,5880,81934
80694968,1,2500,5887,81934
1379020,1,2500,5887,81934
7544903,1,3500,5917,81934
83488764,1,3000,5917,81934
70395304,1,2000,5920,81934
60557969,1,3000,5923,81934
19819569,1,1000,5933,81934
45585267,1,2000,5949,81934
31412746,1,4500,5949,81934
99283724,1,4500,5970,81934
88354479,1,4500,5978,81934
20588947,1,1000,5995,81934
58357722,1,1500,6002,81934
95290079,1,1500,6004,81934
51133312,1,6000,6010,81934
25804512,1,2500,6031,81934
17442783,1,4000,6033,81934
31412746,1,6000,6043,81934
22726351,1,2500,6043,81934
88354479,1,4500,6076,81934
44594109,1,3500,6079,81934
88354479,1,6000,6085,81934
95290079,1,1500,6097,81934
44594109,1,3000,6106,81934
31412746,1,5500,6141,81934
19819569,1,1500,6151,81934
75282642,1,3500,6165,81934
65282171,1,4500,6174,81934
