key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,11059
28425641,1,500,810,11059
79093151,1,500,828,11059
28425641,1,500,860,11059
66489138,1,500,955,11059
44594109,1,500,961,11059
99970880,1,500,1019,11059
87926431,1,500,1072,11059
67959054,1,1000,1077,11059
19819569,1,1000,1205,11059
28425641,1,500,1242,11059
34262661,1,1000,1276,11059
86971226,1,500,1284,11059
10718755,1,500,1339,11059
34262661,1,1000,1387,11059
19819569,1,1500,1524,11059
32747133,1,1000,1549,11059
95290079,1,1500,1551,11059
31895428,1,1000,1553,11059
19819569,1,1000,1614,11059
4448187,1,1000,1626,11059
28425641,1,500,1643,11059
19819569,1,1000,1646,11059
95290079,1,1500,1719,11059
67959054,1,1000,1721,11059
19819569,1,1500,1728,11059
73418408,1,1500,1772,11059
95290079,1,1500,1775,11059
71725719,1,500,1791,11059
63804775,1,1000,1793,11059
73418408,1,1500,1798,11059
89636884,1,1000,1802,11059
87926431,1,500,1882,11059
95290079,1,1500,1915,11059
19819569,1,1000,1971,11059
19819569,1,1500,1995,11059
19819569,1,1000,2008,11059
84484364,1,500,2027,11059
19819569,1,1500,2068,11059
99048844,1,1000,2175,11059
79093151,1,500,2193,11059
45585267,1,2000,2267,11059
68817033,1,2000,2299,11059
73418408,1,1500,2308,11059
58357722,1,1500,2360,11059
7278441,1,2000,2410,11059
28425641,1,500,2418,11059
21863909,1,500,2423,11059
1296214,1,1000,2490,11059
19819569,1,1000,2490,11059
93776043,1,1000,2526,11059
22726351,1,2500,2534,11059
28425641,1,500,2556,11059
32227697,1,1000,2636,11059
95290079,1,1500,2667,11059
25804512,1,2500,2670,11059
93776043,1,1000,2730,11059
82758559,1,500,2758,11059
72523281,1,2500,2771,11059
95290079,1,1500,2786,11059
19819569,1,1000,2794,11059
96673993,1,2000,2824,11059
79093151,1,500,2867,11059
28425641,1,500,2888,11059
77221734,1,2000,2903,11059
28425641,1,500,2907,11059
28425641,1,500,2925,11059
23374822,1,2500,2937,11059
77589042,1,1500,2996,11059
51209364,1,0,3012,11059
25804512,1,2000,3058,11059
28425641,1,500,3105,11059
28425641,1,500,3117,11059
19819569,1,1000,3123,11059
28425641,1,500,3139,11059
25804512,1,2500,3142,11059
79093151,1,3000,3171,11059
19819569,1,1000,3186,11059
72523281,1,2500,3203,11059
32412154,1,1000,3225,11059
95290079,1,1500,3226,11059
32922355,1,2500,3231,11059
86308065,1,3000,3238,11059
22726351,1,2500,3249,11059
28425641,1,500,3254,11059
19819569,1,1500,3277,11059
22726351,1,2500,3279,11059
30003784,1,2000,3309,11059
58357722,1,1500,3327,11059
22726351,1,2500,3342,11059
11723396,1,2000,3345,11059
16133749,1,2000,3364,11059
58357722,1,1500,3369,11059
19819569,1,1500,3380,11059
95290079,1,1500,3401,11059
43581846,1,1500,3413,11059
19819569,1,1500,3427,11059
33071850,1,1000,3444,11059
6456186,1,2000,3490,11059
6456186,1,2000,3506,11059
56511357,1,1500,3508,11059
85360088,1,2500,3514,11059
36488048,1,3500,3533,11059
91599990,1,2500,3540,11059
36374194,1,2000,3553,11059
75282642,1,3500,3553,11059
5023913,1,2000,3557,11059
32412154,1,1000,3566,11059
66538156,1,2500,3571,11059
79093151,1,500,3578,11059
7544903,1,3500,3590,11059
31895428,1,1000,3590,11059
21559768,1,3500,3605,11059
4853279,1,2500,3616,11059
87926431,1,500,3654,11059
19819569,1,1500,3672,11059
58357722,1,1500,3681,11059
99027874,1,2500,3697,11059
44594109,1,3500,3721,11059
25737248,1,2000,3724,11059
43990469,1,3000,3725,11059
51209364,1,500,3729,11059
83488764,1,3000,3756,11059
28425641,1,500,3756,11059
83488764,1,3000,3768,11059
84484364,1,500,3782,11059
5956451,1,500,3783,11059
86308065,1,3000,3785,11059
19819569,1,1500,3789,11059
59066148,1,1000,3790,11059
19819569,1,1500,3817,11059
81783800,1,3000,3837,11059
30003784,1,2000,3852,11059
33071850,1,1000,3881,11059
83488764,1,3000,3914,11059
8345360,1,2000,3926,11059
33071850,1,1000,3930,11059
22701764,1,3000,3932,11059
2673143,1,2500,3937,11059
28425641,1,500,3938,11059
44594109,1,3500,3941,11059
5956451,1,3500,3941,11059
91599990,1,2000,3953,11059
87926431,1,500,3956,11059
72523281,1,2500,3963,11059
28425641,1,500,3983,11059
95290079,1,1500,3984,11059
95290079,1,1500,4010,11059
19819569,1,1500,4042,11059
86308065,1,3500,4049,11059
91962132,1,4000,4062,11059
51209364,1,500,4070,11059
28425641,1,500,4100,11059
83488764,1,3000,4121,11059
3330322,1,4000,4129,11059
16133749,1,2000,4140,11059
98997765,1,1500,4159,11059
18591930,1,2000,4177,11059
40639323,1,4000,4178,11059
44594109,1,3000,4184,11059
95290079,1,1500,4191,11059
19819569,1,1000,4201,11059
93776043,1,1000,4204,11059
83488764,1,3000,4207,11059
72523281,1,2500,4210,11059
91962132,1,4000,4249,11059
14838691,1,4000,4288,11059
58169160,1,2000,4289,11059
19819569,1,1500,4300,11059
7544903,1,3000,4302,11059
17718341,1,4000,4307,11059
85420429,1,2000,4308,11059
18591930,1,2000,4309,11059
4448187,1,1000,4313,11059
80694968,1,2500,4319,11059
68486918,1,1000,4370,11059
11723396,1,2000,4398,11059
75282642,1,3500,4399,11059
44594109,1,3500,4422,11059
7278441,1,2000,4428,11059
22701764,1,3000,4460,11059
22726351,1,2500,4489,11059
58357722,1,1500,4490,11059
95290079,1,1500,4505,11059
19819569,1,1000,4509,11059
28425641,1,500,4550,11059
31508574,1,2000,4559,11059
25804512,1,2500,4561,11059
28425641,1,500,4581,11059
53520052,1,1000,4601,11059
58357722,1,1500,4609,11059
70395304,1,1500,4629,11059
65282171,1,4500,4632,11059
93776043,1,1000,4661,11059
36488048,1,3500,4682,11059
36488048,1,3500,4683,11059
28425641,1,500,4694,11059
22726351,1,2500,4707,11059
79093151,1,3500,4707,11059
30003784,1,2000,4709,11059
53520052,1,4500,4710,11059
95290079,1,1500,4715,11059
4853279,1,2500,4715,11059
91599990,1,2000,4728,11059
