key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,95517
28425641,1,500,810,95517
79093151,1,500,828,95517
28425641,1,500,860,95517
66489138,1,500,955,95517
44594109,1,500,961,95517
99970880,1,500,1019,95517
87926431,1,500,1072,95517
67959054,1,1000,1077,95517
19819569,1,1000,1205,95517
28425641,1,500,1242,95517
34262661,1,1000,1276,95517
86971226,1,500,1284,95517
10718755,1,500,1339,95517
34262661,1,1000,1387,95517
19819569,1,1500,1524,95517
32747133,1,1000,1549,95517
95290079,1,1500,1551,95517
31895428,1,1000,1553,95517
19819569,1,1000,1614,95517
4448187,1,1000,1626,95517
28425641,1,500,1643,95517
19819569,1,1000,1646,95517
95290079,1,1500,1719,95517
67959054,1,1000,1721,95517
19819569,1,1500,1728,95517
73418408,1,1500,1772,95517
95290079,1,1500,1775,95517
71725719,1,500,1791,95517
63804775,1,1000,1793,95517
73418408,1,1500,1798,95517
89636884,1,1000,1802,95517
87926431,1,500,1882,95517
95290079,1,1500,1915,95517
19819569,1,1000,1971,95517
19819569,1,1500,1995,95517
19819569,1,1000,2008,95517
84484364,1,500,2027,95517
19819569,1,1500,2068,95517
99048844,1,1000,2175,95517
79093151,1,500,2193,95517
45585267,1,2000,2267,95517
68817033,1,2000,2299,95517
73418408,1,1500,2308,95517
58357722,1,1500,2360,95517
7278441,1,2000,2410,95517
28425641,1,500,2418,95517
21863909,1,500,2423,95517
1296214,1,1000,2490,95517
19819569,1,1000,2490,95517
93776043,1,1000,2526,95517
22726351,1,2500,2534,95517
28425641,1,500,2556,95517
32227697,1,1000,2636,95517
95290079,1,1500,2667,95517
25804512,1,2500,2670,95517
93776043,1,1000,2730,95517
82758559,1,500,2758,95517
72523281,1,2500,2771,95517
95290079,1,1500,2786,95517
19819569,1,1000,2794,95517
96673993,1,2000,2824,95517
79093151,1,500,2867,95517
28425641,1,500,2888,95517
77221734,1,2000,2903,95517
28425641,1,500,2907,95517
28425641,1,500,2925,95517
23374822,1,2500,2937,95517
77589042,1,1500,2996,95517
51209364,1,0,3012,95517
25804512,1,2000,3058,95517
28425641,1,500,3105,95517
28425641,1,500,3117,95517
19819569,1,1000,3123,95517
28425641,1,500,3139,95517
25804512,1,2500,3142,95517
79093151,1,3000,3171,95517
19819569,1,1000,3186,95517
72523281,1,2500,3203,95517
32412154,1,1000,3225,95517
95290079,1,1500,3226,95517
32922355,1,2500,3231,95517
86308065,1,3000,3238,95517
22726351,1,2500,3249,95517
28425641,1,500,3254,95517
19819569,1,1500,3277,95517
22726351,1,2500,3279,95517
30003784,1,2000,3309,95517
58357722,1,1500,3327,95517
22726351,1,2500,3342,95517
11723396,1,2000,3345,95517
16133749,1,2000,3364,95517
58357722,1,1500,3369,95517
19819569,1,1500,3380,95517
95290079,1,1500,3401,95517
43581846,1,1500,3413,95517
19819569,1,1500,3427,95517
33071850,1,1000,3444,95517
6456186,1,2000,3490,95517
6456186,1,2000,3506,95517
56511357,1,1500,3508,95517
85360088,1,2500,3514,95517
36488048,1,3500,3533,95517
91599990,1,2500,3540,95517
36374194,1,2000,3553,95517
75282642,1,3500,3553,95517
5023913,1,2000,3557,95517
32412154,1,1000,3566,95517
66538156,1,2500,3571,95517
79093151,1,500,3578,95517
7544903,1,3500,3590,95517
31895428,1,1000,3590,95517
21559768,1,3500,3605,95517
4853279,1,2500,3616,95517
87926431,1,500,3654,95517
19819569,1,1500,3672,95517
58357722,1,1500,3681,95517
99027874,1,2500,3697,95517
44594109,1,3500,3721,95517
25737248,1,2000,3724,95517
43990469,1,3000,3725,95517
51209364,1,500,3729,95517
83488764,1,3000,3756,95517
28425641,1,500,3756,95517
83488764,1,3000,3768,95517
84484364,1,500,3782,95517
5956451,1,500,3783,95517
86308065,1,3000,3785,95517
19819569,1,1500,3789,95517
59066148,1,1000,3790,95517
19819569,1,1500,3817,95517
81783800,1,3000,3837,95517
30003784,1,2000,3852,95517
33071850,1,1000,3881,95517
83488764,1,3000,3914,95517
8345360,1,2000,3926,95517
33071850,1,1000,3930,95517
22701764,1,3000,3932,95517
2673143,1,2500,3937,95517
28425641,1,500,3938,95517
44594109,1,3500,3941,95517
5956451,1,3500,3941,95517
91599990,1,2000,3953,95517
87926431,1,500,3956,95517
72523281,1,2500,3963,95517
28425641,1,500,3983,95517
95290079,1,1500,3984,95517
95290079,1,1500,4010,95517
19819569,1,1500,4042,95517
86308065,1,3500,4049,95517
91962132,1,4000,4062,95517
51209364,1,500,4070,95517
28425641,1,500,4100,95517
83488764,1,3000,4121,95517
3330322,1,4000,4129,95517
16133749,1,2000,4140,95517
98997765,1,1500,4159,95517
18591930,1,2000,4177,95517
40639323,1,4000,4178,95517
44594109,1,3000,4184,95517
95290079,1,1500,4191,95517
19819569,1,1000,4201,95517
93776043,1,1000,4204,95517
83488764,1,3000,4207,95517
72523281,1,2500,4210,95517
91962132,1,4000,4249,95517
14838691,1,4000,4288,95517
58169160,1,2000,4289,95517
19819569,1,1500,4300,95517
7544903,1,3000,4302,95517
17718341,1,4000,4307,95517
85420429,1,2000,4308,95517
18591930,1,2000,4309,95517
4448187,1,1000,4313,95517
80694968,1,2500,4319,95517
68486918,1,1000,4370,95517
11723396,1,2000,4398,95517
75282642,1,3500,4399,95517
44594109,1,3500,4422,95517
7278441,1,2000,4428,95517
22701764,1,3000,4460,95517
22726351,1,2500,4489,95517
58357722,1,1500,4490,95517
95290079,1,1500,4505,95517
19819569,1,1000,4509,95517
28425641,1,500,4550,95517
31508574,1,2000,4559,95517
25804512,1,2500,4561,95517
28425641,1,500,4581,95517
53520052,1,1000,4601,95517
58357722,1,1500,4609,95517
70395304,1,1500,4629,95517
65282171,1,4500,4632,95517
93776043,1,1000,4661,95517
36488048,1,3500,4682,95517
36488048,1,3500,4683,95517
28425641,1,500,4694,95517
22726351,1,2500,4707,95517
79093151,1,3500,4707,95517
30003784,1,2000,4709,95517
53520052,1,4500,4710,95517
95290079,1,1500,4715,95517
4853279,1,2500,4715,95517
91599990,1,2000,4728,95517
95290079,1,1500,4729,95517
66538156,1,3000,4734,95517
5956451,1,3500,4759,95517
7544903,1,3000,4771,95517
2982962,1,2000,4790,95517
33200804,1,1000,4799,95517
16234480,1,500,4802,95517
62524424,1,4500,4804,95517
72523281,1,2500,4843,95517
4448187,1,1000,4874,95517
87926431,1,500,4884,95517
96673993,1,2000,4894,95517
89886461,1,4000,4943,95517
34262661,1,1000,4962,95517
22311271,1,2000,4976,95517
68486918,1,4500,5003,95517
84484364,1,500,5005,95517
62607824,1,1000,5006,95517
86308065,1,3500,5012,95517
61118106,1,4500,5016,95517
63670604,1,2000,5033,95517
73877266,1,4500,5034,95517
95290079,1,1500,5048,95517
4853279,1,2500,5052,95517
28425641,1,500,5055,95517
32747133,1,1000,5059,95517
79093151,1,500,5067,95517
89915804,1,2000,5067,95517
96673993,1,2000,5071,95517
35200765,1,3000,5087,95517
89528679,1,4500,5091,95517
63804775,1,4500,5092,95517
28425641,1,500,5094,95517
28425641,1,500,5106,95517
32747133,1,5000,5115,95517
91599990,1,2500,5164,95517
17442783,1,4500,5168,95517
65282171,1,4500,5183,95517
44594109,1,3500,5187,95517
51799292,1,4000,5190,95517
83488764,1,3000,5192,95517
17442783,1,4000,5205,95517
83488764,1,3000,5216,95517
97064747,1,3500,5217,95517
28425641,1,500,5221,95517
1438364,1,4000,5234,95517
45051218,1,4000,5243,95517
19819569,1,1000,5249,95517
51799292,1,4000,5263,95517
83488764,1,3000,5273,95517
31412746,1,4500,5281,95517
86308065,1,3000,5282,95517
22726351,1,2500,5299,95517
44594109,1,4000,5300,95517
81340523,1,2000,5302,95517
71332311,1,5000,5321,95517
17442783,1,4500,5321,95517
73418408,1,1500,5324,95517
83488764,1,3000,5336,95517
19819569,1,1000,5352,95517
22726351,1,2500,5356,95517
58357722,1,1500,5393,95517
99283724,1,4000,5398,95517
97339803,1,3000,5416,95517
72523281,1,2500,5419,95517
89886461,1,4000,5421,95517
6456186,1,2000,5434,95517
91599990,1,2000,5442,95517
53520052,1,4500,5456,95517
53520052,1,5000,5462,95517
73877266,1,4500,5466,95517
75282642,1,3500,5496,95517
89528679,1,5500,5506,95517
83488764,1,3000,5515,95517
5956451,1,3500,5520,95517
19819569,1,1500,5524,95517
27613627,1,5000,5531,95517
96673993,1,2000,5532,95517
65282171,1,4500,5547,95517
11683730,1,1000,5557,95517
16234480,1,4500,5589,95517
72948369,1,4500,5594,95517
31412746,1,5500,5601,95517
72165418,1,5000,5606,95517
30758909,1,5000,5611,95517
27613627,1,5500,5619,95517
53520052,1,5000,5626,95517
99283724,1,4000,5632,95517
79247076,1,5000,5638,95517
30003784,1,2000,5641,95517
89886461,1,4000,5652,95517
29386080,1,4500,5662,95517
3628,1,4500,5679,95517
44594109,1,4000,5689,95517
72948369,1,4500,5689,95517
3887941,1,4000,5691,95517
83488764,1,3000,5723,95517
34438281,1,4500,5728,95517
27605310,1,3500,5741,95517
73418408,1,1500,5750,95517
57006,1,4000,5772,95517
54482435,1,1000,5798,95517
87095283,1,3500,5812,95517
19819569,1,1000,5824,95517
19819569,1,1500,5841,95517
3225441,1,3500,5847,95517
53520052,1,5500,5861,95517
75282642,1,3500,5870,95517
22726351,1,2500,5879,95517
19819569,1,1000,5880,95517
80694968,1,2500,5887,95517
1379020,1,2500,5887,95517
7544903,1,3500,5917,95517
83488764,1,3000,5917,95517
70395304,1,2000,5920,95517
60557969,1,3000,5923,95517
19819569,1,1000,5933,95517
45585267,1,2000,5949,95517
31412746,1,4500,5949,95517
99283724,1,4500,5970,95517
88354479,1,4500,5978,95517
20588947,1,1000,5995,95517
58357722,1,1500,6002,95517
95290079,1,1500,6004,95517
51133312,1,6000,6010,95517
25804512,1,2500,6031,95517
17442783,1,4000,6033,95517
31412746,1,6000,6043,95517
22726351,1,2500,6043,95517
88354479,1,4500,6076,95517
44594109,1,3500,6079,95517
88354479,1,6000,6085,95517
95290079,1,1500,6097,95517
44594109,1,3000,6106,95517
31412746,1,5500,6141,95517
19819569,1,1500,6151,95517
75282642,1,3500,6165,95517
65282171,1,4500,6174,95517
94713929,1,6000,6179,95517
31412746,1,5500,6202,95517
25737248,1,2500,6203,95517
87926431,1,5500,6203,95517
36374194,1,2000,6208,95517
